,Case,CC3,Country,Year,Banking Crisis ,Banking_Crisis_Notes,Systemic Crisis,Gold Standard,exch_usd,exch_usd_alt1,exch_usd_alt2,exch_usd_alt3,conversion_notes,national currency,exch_primary source code,exch_sources,Domestic_Debt_In_Default,Domestic_Debt_ Notes/Sources,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",Defaults_External_Notes,GDP_Weighted_default,<,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises,Unnamed: 0,Unnamed: 0.1,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
574,33,ITA,Italy,2009,1,,1.00,0,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,0,0.800,1,0,0,811,141,62137802,Europe,Italy,ITA,2221000,536,Russia,Dmitry Medvedev,,Italy,,1.3.2009,,President of Italy Giorgio Napolitano handed over to Dmitry Medvedev the symbolic keys to the Russian Orthodox Church Metochion in Bari,,,http://en.kremlin.ru/events/president/trips/4573,2009
576,33,ITA,Italy,2010,1,,1.00,0,0.75,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,0,1.600,1,0,0,808,141,62137802,Europe,Italy,ITA,2221000,486,Russia,Dmitry Medvedev,,Italy,,23.7.2010,,Russian-Italian talks,,,http://en.kremlin.ru/events/president/trips/8427,2010
577,33,ITA,Italy,2011,1,,1.00,0,0.77,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,1,2.900,1,0,0,806,141,62137802,Europe,Italy,ITA,2221000,460,Russia,Dmitry Medvedev,,Italy,,1.6.2011,,Dmitry Medvedev arrived in Italy for a two-day visit,,,http://en.kremlin.ru/events/president/trips/11439,2011
578,33,ITA,Italy,2011,1,,1.00,0,0.77,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,1,2.900,1,0,0,807,141,62137802,Europe,Italy,ITA,2221000,464,Russia,Dmitry Medvedev,,Italy,,16.2.2011,,Greetings to Russian-Italian Student Forum in Rome,,,http://en.kremlin.ru/events/president/trips/10381,2011
582,33,ITA,Italy,2014,1,,1.00,0,0.82,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,0,0.200,1,0,0,805,141,62137802,Europe,Italy,ITA,2221000,395,Russia,Putin,,Italy,,16.10.2014,,Vladimir Putin arrived in Milan to attend the ASEM Summit,,,http://en.kremlin.ru/events/president/trips/46828,2014
583,33,ITA,Italy,2015,,,,0,0.9,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"10th-19th centuries-provincial monies, 1862-1998 lira, 1999-present euro",ITALIR$,Primary source is US dollar ITL,0,,0,0,,0,0,0.100,1,0,0,804,141,62137802,Europe,Italy,ITA,2221000,384,Russia,Putin,,Italy,,10.6.2015,,Opening of Russia Day at Expo 2015,,,http://en.kremlin.ru/events/president/trips/49691,2015
590,34,JPN,Japan,2005,0,,0.00,0,117.97,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-1868-Tael, 1869-present-Yen",JPXRXDE.,Primary source is US dollar level.,0,,0,0,,0,0,-0.300,1,0,0,930,155,126451398,Asia,Japan,JPN,4932000,617,Russia,Putin,,Japan,,20.11.2005,,President Vladimir Putin visited the Japanese-Russian Friendship and Art exhibition,,,http://en.kremlin.ru/events/president/trips/45572,2005
603,34,JPN,Japan,2016,,,,0,115,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-1868-Tael, 1869-present-Yen",JPXRXDE.,Primary source is Oxford Economics eop ,,,0,0,,0,,-0.200,1,1,0,927,155,126451398,Asia,Japan,JPN,4932000,357,Russia,Putin,,Japan,,15.12.2016,,Meeting with Japanese Prime Minister Shinzo Abe,,,http://en.kremlin.ru/events/president/trips/53488,2016
638,37,MYS,Malaysia,2003,0,,0.00,0,3.8,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1903-1946-Straits Settlement dollar; 1963-67-dollar Malaya,1967-present ringgit",,Primary source is US dollar level.,0,,0,0,,0,0,1.100,1,0,0,875,148,31381992,Asia,Malaysia,MYS,863000,667,Russia,Putin,,Malaysia,,16.10.2003,,Vladimir Putin arrived in Malaysia to attend the Organization of the Islamic Conference Summit,,,http://en.kremlin.ru/events/president/trips/45501,2003
639,37,MYS,Malaysia,2003,0,,0.00,0,3.8,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1903-1946-Straits Settlement dollar; 1963-67-dollar Malaya,1967-present ringgit",,Primary source is US dollar level.,0,,0,0,,0,0,1.100,1,0,0,876,148,31381992,Asia,Malaysia,MYS,863000,672,Russia,Putin,,Malaysia,,5.8.2003,,President Vladimir Putin met with King Tuanku Syed Sirajuddin of Malaysia,,,http://en.kremlin.ru/events/president/trips/45495,2003
693,40,MAR,Morocco,2006,0,,0.00,,8.4566,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"multiple foreign currencies, 1920-1959-Moroccan franc, 1959-present-Dirham",,Primary source is US dollar level.,0,,0,0,,0,0,3.300,1,0,0,952,162,33986655,Africa,Morocco,MAR,282800,602,Russia,Putin,,Morocco,,7.9.2006,,Vladimir Putin was accorded an official welcome in Casablanca,,,http://en.kremlin.ru/events/president/trips/45594,2006
729,42,NLD,Netherlands,2009,1,,1.00,0,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1694-1810 guilder, 1810-1816 French monetary system, 1816-1998 guilder, 1999-present euro",,Primary source is US dollar level.,0,,0,0,,0,0,1.000,1,0,0,728,130,17084719,Europe,Netherlands,NLD,870800,531,Russia,Dmitry Medvedev,,Netherlands,,19.6.2009,,Dmitry Medvedev arrived to the Netherlands on a two-day working visit,,,http://en.kremlin.ru/events/president/trips/4577,2009
766,44,NIC,Nicaragua,2014,0,,0.00,0,26.38,26.38,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"16th-19th centuries Spanish & Mexican silver piasters, 1823-1838 Central America peso, 1838-1912-Nicaragua peso, 1912-present-oro,vieja,nueva,oro-cordoba",,Primary source is US dollar level; alt1 series is US dollar adjusted.,0,,0,1,,0,,6.000,1,0,0,237,35,6025951,North America,Nicaragua,NIC,33550,404,Russia,Putin,,Nicaragua,,12.7.2014,,Visit to Nicaragua,,,http://en.kremlin.ru/events/president/trips/46205,2014
777,45,NGA,Nigeria,2009,1,,1.00,,149.581,149.581,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1907-1913 UK pound, 1913-1959 West Africa pound, 1959-1973 Nigerian pound, 1973-present naira",,Primary source is US dollar level; alt1 series is US dollar adjusted.,0,,0,0,,0,1,12.500,1,0,0,314,56,190632261,Africa,Nigeria,NGA,1089000,529,Russia,Dmitry Medvedev,,Nigeria,,24.6.2009,,Russian-Nigerian talks took place in Abuja,,,http://en.kremlin.ru/events/president/trips/4892,2009
786,46,NOR,Norway,2002,0,,0.00,0,6.9657,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1450-1814-Danish monetary system, 1814-1905-Swedish monetary system, 1905-present-Norwegian krone",,Primary source is US dollar level.,0,,0,0,,0,1,1.300,1,0,0,174,21,5320045,Europe,Norway,-99,364700,688,Russia,Putin,,Norway,,12.11.2002,,President Vladimir Putin met with German Federal Chancellor Gerhard Schroeder,,,http://en.kremlin.ru/events/president/trips/45464,2002
794,46,NOR,Norway,2010,0,,0.00,0,5.86,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1450-1814-Danish monetary system, 1814-1905-Swedish monetary system, 1905-present-Norwegian krone",,Primary source is US dollar level.,0,,0,0,,0,0,2.400,1,0,0,173,21,5320045,Europe,Norway,-99,364700,498,Russia,Dmitry Medvedev,,Norway,,26.4.2010,,Dmitry Medvedev's two-day state visit to Norway has begun,,,http://en.kremlin.ru/events/president/trips/7564,2010
867,51,POL,Poland,2002,0,,0.00,0,3.8388,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1847-1914-Russian monies, 1914-1917-German mark, 1918-1924-marka, 1924-present-zloty",,Primary source is US dollar adjusted,0,,0,0,,0,0,1.900,1,0,0,598,113,38476269,Europe,Poland,POL,1052000,699,Russia,Putin,,Poland,,16.1.2002,,Russian President Vladimir Putin and Polish President Aleksander Kwasniewski held negotiations in Warsaw,,,http://en.kremlin.ru/events/president/trips/45738,2002
870,51,POL,Poland,2005,0,,0.00,0,3.2613,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1847-1914-Russian monies, 1914-1917-German mark, 1918-1924-marka, 1924-present-zloty",,Primary source is US dollar adjusted,0,,0,0,,0,0,2.100,1,0,0,597,113,38476269,Europe,Poland,POL,1052000,637,Russia,Putin,,Poland,,27.1.2005,,President Vladimir Putin arrived in Krakow to take part in the events commemorating the 60th anniversary of the liberation of Auschwitz,,,http://en.kremlin.ru/events/president/trips/48823,2005
875,51,POL,Poland,2010,0,,0.00,0,2.9641,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1847-1914-Russian monies, 1914-1917-German mark, 1918-1924-marka, 1924-present-zloty",,Primary source is US dollar adjusted,0,,0,0,,0,0,2.600,1,0,0,595,113,38476269,Europe,Poland,POL,1052000,471,Russia,Dmitry Medvedev,,Poland,,6.12.2010,,Interview to Polish media,,,http://en.kremlin.ru/events/president/trips/9728,2010
876,51,POL,Poland,2010,0,,0.00,0,2.9641,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1847-1914-Russian monies, 1914-1917-German mark, 1918-1924-marka, 1924-present-zloty",,Primary source is US dollar adjusted,0,,0,0,,0,0,2.600,1,0,0,596,113,38476269,Europe,Poland,POL,1052000,500,Russia,Dmitry Medvedev,,Poland,,18.4.2010,,Dmitry Medvedev met with Marshal of the Sejm of Poland Bronislaw Komorowski,,,http://en.kremlin.ru/events/president/trips/10779,2010
886,52,PRT,Portugal,2004,0,,0.00,0,0.73,0.517759138,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1722-1911-milreis, 1911-1998 escudo, 1999-present euro",,Primary source is PTE adjusted; alt1 series is pound/US dollar GBP; alt2 series is British pound level,0,,0,0,,0,0,2.500,1,0,0,735,131,10839514,Europe,Portugal,PRT,297100,642,Russia,Putin,,Portugal,,23.11.2004,,President Vladimir Putin began his official visit to Portugal by meeting with Portuguese President Jorge Sampaio,,,http://en.kremlin.ru/events/president/trips/45542,2004
890,52,PRT,Portugal,2007,0,,0.00,0,0.68,0.499151443,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1722-1911-milreis, 1911-1998 escudo, 1999-present euro",,Primary source is PTE adjusted; alt1 series is pound/US dollar GBP; alt2 series is British pound level,0,,0,0,,0,0,2.400,1,0,0,734,131,10839514,Europe,Portugal,PRT,297100,567,Russia,Putin,,Portugal,,25.10.2007,,"During a working visit to Portugal, President Vladimir Putin held talks with Portuguese President Anibal Cavaco Silva and Portuguese Prime Minister Jose Socrates",,,http://en.kremlin.ru/events/president/trips/45742,2007
907,53,ROU,Romania,2008,0,,0.00,0,2.8342,2.8342,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"19th century Turkish monies, 1867-1947 first leu, 1947-1952 second leu, 1952-2005 third leu, 2005-present fourth leu",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,1,7.800,1,1,0,618,117,21529967,Europe,Romania,ROU,441000,563,Russia,Putin,,Romania,,3.4.2008,,President Vladimir Putin has arrived in Bucharest,,,http://en.kremlin.ru/events/president/trips/48887,2008
956,56,ZAF,South Africa,2006,0,,0.00,0,6.97,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"17th-18th centuries Dutch monies,19th century British monies, 1920-1961, 1920-1961-South Africa pound, 1961-present rand ",,Primary source is US dollar level,0,,0,0,,0,0,4.700,1,0,0,183,25,54841552,Africa,South Africa,ZAF,739100,603,Russia,Putin,,South Africa,,5.9.2006,,Vladimir Putin has held talks with President of South Africa Thabo Mbeki,,,http://en.kremlin.ru/events/president/trips/45593,2006
973,57,ESP,Spain,2006,0,,0.00,,0.76,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"12th century-1847-maravedis,1847-1859-real is unit of account, 1859-1864-peseta, 1864-1868-escudo, 1868-1998 peseta, 1999-present euro",,Primary source is US dollar level,0,,0,0,,0,0,3.600,1,0,0,743,132,48958159,Europe,Spain,ESP,1690000,614,Russia,Putin,,Spain,,8.2.2006,,The first day of the President of Russia's state visit to Spain ended with a reception in the Royal Palace given by King of Spain Juan Carlos I and Queen Sophia in honour of Vladimir and Lyudmila Putin,,,http://en.kremlin.ru/events/president/trips/45579,2006
976,57,ESP,Spain,2009,1,,0.00,,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"12th century-1847-maravedis,1847-1859-real is unit of account, 1859-1864-peseta, 1864-1868-escudo, 1868-1998 peseta, 1999-present euro",,Primary source is US dollar level,0,,0,0,,0,0,-0.200,1,0,0,742,132,48958159,Europe,Spain,ESP,1690000,535,Russia,Dmitry Medvedev,,Spain,,2.3.2009,,King of Spain Juan Carlos I and Queen Sofia held an official welcome ceremony for Dmitry and Svetlana Medvedev at the El Pardo Palace,,,http://en.kremlin.ru/events/president/trips/4574,2009
1001,59,SWE,Sweden,2001,0,,0.00,0,1.13,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1776-1873 riksdaler, 1873-present krona",,Primary source is US dollar level,0,,0,0,,0,0,2.400,1,0,0,536,110,9960487,Europe,Sweden,SWE,498100,722,Russia,Putin,,Sweden,,23.3.2001,,An interview with President Vladimir Putin published in the Swedish newspaper Svenska Dagbladet,,,http://en.kremlin.ru/events/president/trips/45670,2001
1009,59,SWE,Sweden,2009,1,,0.00,0,0.69,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1776-1873 riksdaler, 1873-present krona",,Primary source is US dollar level,0,,0,0,,0,0,-0.500,1,0,0,535,110,9960487,Europe,Sweden,SWE,498100,512,Russia,Dmitry Medvedev,,Sweden,,18.11.2009,,Dmitry Medvedev met with Swedish Prime Minister Fredrik Reinfeldt,,,http://en.kremlin.ru/events/president/trips/6047,2009
1025,60,CHE,Switzerland,2009,,,0.00,,1.0305,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1798-1803 franc of the Helvetic Republic, 1894-1850 multiple local currencies, 1850-present Swiss franc",,Primary source is US dollar level,,,,,,,0,-0.500,1,0,0,708,127,8236303,Europe,Switzerland,CHE,496300,519,Russia,Dmitry Medvedev,,Switzerland,,21.9.2009,,Russian-Swiss talks were held as part of Dmitry Medvedev's state visit to Switzerland,,,http://en.kremlin.ru/events/president/trips/5542,2009
1027,60,CHE,Switzerland,2011,,,0.00,,0.9409,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1798-1803 franc of the Helvetic Republic, 1894-1850 multiple local currencies, 1850-present Swiss franc",,Primary source is US dollar level,,,,,,,0,0.200,1,0,0,707,127,8236303,Europe,Switzerland,CHE,496300,465,Russia,Dmitry Medvedev,,Switzerland,,26.1.2011,,Meeting with International Business Council,,,http://en.kremlin.ru/events/president/trips/10164,2011
1051,62,THA,Thailand,2003,0,,0.00,0,39.5907,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"18th century-1928-tical, 1928-present baht",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,0,1.800,1,0,0,386,91,68414135,Asia,Thailand,THA,1161000,665,Russia,Putin,,Thailand,,21.10.2003,,President Vladimir Putinâs state visit to Thailand began with a meeting with the countryâs Prime Minister Thaksin Shinawatra,,,http://en.kremlin.ru/events/president/trips/45502,2003
1084,64,TUR,Turkey,2004,0,,0.00,,1339500,1.3395,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1844-1881 Turkey piaster, 1881-present Turkish lira",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,0,8.600,1,0,0,700,124,80845215,Asia,Turkey,TUR,1670000,639,Russia,Putin,,Turkey,,5.12.2004,,"On Vladimir Putin's arrival in Ankara, a dinner in his honour was held by the Turkish President Ahmet Necdet Sezer",,,http://en.kremlin.ru/events/president/trips/45544,2004
1085,64,TUR,Turkey,2005,0,,0.00,,1.34505,1.34505,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1844-1881 Turkey piaster, 1881-present Turkish lira",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,0,8.200,1,1,0,699,124,80845215,Asia,Turkey,TUR,1670000,619,Russia,Putin,,Turkey,,17.11.2005,,Vladimir Putin arrived at the port of Samsun on the Black Sea coast in Turkey,,,http://en.kremlin.ru/events/president/trips/45570,2005
1087,64,TUR,Turkey,2007,0,,0.00,,1.1708,1.1708,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1844-1881 Turkey piaster, 1881-present Turkish lira",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,0,8.800,1,0,0,698,124,80845215,Asia,Turkey,TUR,1670000,579,Russia,Putin,,Turkey,,25.6.2007,,President Vladimir Putin met with President of Turkey Ahmet Sezer,,,http://en.kremlin.ru/events/president/trips/45694,2007
1090,64,TUR,Turkey,2010,0,,0.00,,1.50284863,1.50284863,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1844-1881 Turkey piaster, 1881-present Turkish lira",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,0,8.600,1,0,0,697,124,80845215,Asia,Turkey,TUR,1670000,495,Russia,Dmitry Medvedev,,Turkey,,11.5.2010,,Dmitry Medvedev arrived in Turkey on an official visit,,,http://en.kremlin.ru/events/president/trips/7731,2010
1092,64,TUR,Turkey,2012,0,,0.00,,1.796000944,1.796000944,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1844-1881 Turkey piaster, 1881-present Turkish lira",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,0,8.900,1,0,0,696,124,80845215,Asia,Turkey,TUR,1670000,431,Russia,Putin,,Turkey,,3.12.2012,,Working visit to Turkey,,,http://en.kremlin.ru/events/president/trips/17071,2012
1094,64,TUR,Turkey,2014,0,,0.00,,2.188542418,2.188542418,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1844-1881 Turkey piaster, 1881-present Turkish lira",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,0,8.900,1,1,0,695,124,80845215,Asia,Turkey,TUR,1670000,392,Russia,Putin,,Turkey,,1.12.2014,,Meeting with President of Turkey Recep Tayyip Erdogan,,,http://en.kremlin.ru/events/president/trips/47133,2014
1096,64,TUR,Turkey,2016,,,0.00,,3.12,2.69,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"1844-1881 Turkey piaster, 1881-present Turkish lira",TKXRXDE.,Primary source is Oxford Economics eop ,,,0,0,,0,,9.800,1,0,0,693,124,80845215,Asia,Turkey,TUR,1670000,362,Russia,Putin,,Turkey,,10.10.2016,,World Energy Congress in Istanbul,,,http://en.kremlin.ru/events/president/trips/53074,2016
1098,65,GBR,United Kingdom,2001,0,,0.00,0,0.689464975,1.4504,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,,,Primary source is pound/US dollar GBP; alt1 series is US dollar/pound level,0,,0,0,,0,0,1.800,1,0,0,849,143,64769452,Europe,United Kingdom,GBR,2788000,701,Russia,Putin,,United Kingdom,,21.12.2001,,President Vladimir Putin visited Tony Blair at his country residence,,,http://en.kremlin.ru/events/president/trips/45725,2001
1102,65,GBR,United Kingdom,2003,0,,0.00,0,0.560318261,1.7847,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,,,Primary source is pound/US dollar GBP; alt1 series is US dollar/pound level,0,,0,0,,0,0,2.900,1,0,0,848,143,64769452,Europe,United Kingdom,GBR,2788000,673,Russia,Putin,,United Kingdom,,22.6.2003,,President Vladimir Putin gave an interview to the BBC,,,http://en.kremlin.ru/events/president/trips/48894,2003
1104,65,GBR,United Kingdom,2005,0,,0.00,0,0.580753818,1.7219,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,,,Primary source is pound/US dollar GBP; alt1 series is US dollar/pound level,0,,0,0,,0,0,2.800,1,0,0,845,143,64769452,Europe,United Kingdom,GBR,2788000,621,Russia,Putin,,United Kingdom,,4.10.2005,,President Vladimir Putin and British Prime Minister Anthony Blair met with members of the British business community,,,http://en.kremlin.ru/events/president/trips/45567,2005
1107,65,GBR,United Kingdom,2007,1,,0.00,0,0.499151443,2.0034,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,,,Primary source is pound/US dollar GBP; alt1 series is US dollar/pound level,0,,0,0,,0,0,4.300,1,0,0,844,143,64769452,Europe,United Kingdom,GBR,2788000,578,Russia,Putin,,United Kingdom,,2.7.2007,,President Vladimir Putin has arrived on a working visit to the United States of America,,,http://en.kremlin.ru/events/president/trips/45692,2007
1109,65,GBR,United Kingdom,2009,1,,0.00,0,0.617474529,1.6195,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,,,Primary source is pound/US dollar GBP; alt1 series is US dollar/pound level,0,,0,0,,0,0,-0.500,1,0,0,843,143,64769452,Europe,United Kingdom,GBR,2788000,533,Russia,Dmitry Medvedev,,United Kingdom,,1.4.2009,,Dmitry Medvedev had a meeting with Australian Prime Minister Kevin Rudd,,,http://en.kremlin.ru/events/president/trips/5156,2009
1113,65,GBR,United Kingdom,2012,1,,0.00,0,0.633046989,1.57966157,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,,,Primary source is pound/US dollar GBP; alt1 series is US dollar/pound level,0,,0,0,,0,0,2.800,1,0,0,842,143,64769452,Europe,United Kingdom,GBR,2788000,435,Russia,Putin,,United Kingdom,,2.8.2012,,Meeting with Prime Minister of the United Kingdom David Cameron,,,http://en.kremlin.ru/events/president/trips/16132,2012
1114,65,GBR,United Kingdom,2013,1,,0.00,0,0.639660578,1.563329108,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,,,Primary source is pound/US dollar GBP; alt1 series is US dollar/pound level,0,,0,0,,0,0,2.600,1,0,0,841,143,64769452,Europe,United Kingdom,GBR,2788000,423,Russia,Putin,,United Kingdom,,16.6.2013,,Presentation of awards to Arctic Convoys veterans,,,http://en.kremlin.ru/events/president/trips/18362,2013
1157,68,VEN,Venezuela,2008,0,,0.00,0,2.1473,,,,Series already adjusted for 100-to-1 conversion here; National currency per USD,"16th century-1829-Spanish monies, 1830-1856-various foreign monies, 1857-1887-Venezolano, 1887-present Bolivar",,Primary source is US dollar level; alt1 series is US dollar adjusted,0,,0,0,,0,1,30.400,1,1,1,244,40,31304016,South America,Venezuela,VEN,468600,541,Russia,Dmitry Medvedev,,Venezuela,,27.11.2008,,Russian-Venezuelan talks were held in Caracas,,,http://en.kremlin.ru/events/president/trips/4567,2008
