Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link
790,China,Xi Jinping,,Czechia,Prague,28.3.2016,30.3.2016,"Chinese president arrives in Czechia for state visit, Xi meets with Czech counterpart, Xi attends welcoming ceremony held by Czech president, Xi meets leader of Czech Chamber of Deputies on ties, China, Czechia to strengthen legislative cooperation, communication, China, Czechia pledge for deepened cooperation by forging strategic partnership, President Xi receives key to Prague city, President Xi meets Czech PM, heads of Parliament, President Xi, Czech counterpart attend China-Czech Economic Roundtable in Prague, President Xi, Czech counterpart visit Strahov Library in Prague","Xi Jinping, Milos Zeman, Xi Jinping, Milos Zeman, Xi Jinping, Jan Hamacek, Xi Jinping, Milan Stech, Xi Jinping, Milos Zeman, Xi Jinping, Adriana Krnacova, Xi Jinping, Li Zhanshu, Wang Yi, Yang Chuantang, Yang Jiechi, Milos Zeman, Xi Jinping, Milos Zeman",http://news.xinhuanet.com/english/photo/2016-03/30/c_135237840.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=24291
791,China,Xi Jinping,,Iran,Tehran,23.1.2016,23.1.2016,"Chinese president meets Iran's Supreme Leader Khamenei, China, Iran upgrade ties to carry forward millennia-old friendship, President Xi meets with Iranian parliament speaker in Tehran, China hopes Iran nuclear deal implemented smoothly, China, Iran oppose unjust sanctions against other countries, China supports Iran's application for full membership of SCO","Xi Jinping, Ayatollah Ali Khamenei, Xi Jinping, Hassan Rouhani, Xi Jinping, Ali Larijani, Xi Jinping, Hassan Rouhani, Xi Jinping, Hassan Rouhani, Xi Jinping, Hassan Rouhani",http://news.xinhuanet.com/english/2016-01/23/c_135038723.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23935
792,China,Xi Jinping,,Egypt,Cairo,20.1.2016,22.1.2016,"Chinese president arrives in Egypt for state visit, Chinese president hails friendship, cooperation with Egypt, Xi meets friendly people awarded for contribution to China-Egypt friendship, China encourages companies to participate in large-scale Egyptian projects, Chinese president offers development as ""new path"" to resolve Middle East crises, China offers financial, humanitarian aid to promote development, security in Arab world, China and Egypt urged the Syrian government and opposition to join UN-facilitated peace talks as early as possible, China, Egypt oppose linking terrorism with specific nations, religions, Xi urges closer parliamentary exchanges between China, Egypt, China, Egypt agree to boost cooperation under Belt and Road Initiative, China supports the Arab world to solve its problems on its own., Chinese president offers remedies for Mideast predicaments, aid to Arab development, Xi wraps up Egypt visit as China's Middle East policy applauded","Xi Jinping, Abdel Fattah al-Sisi, Xi Jinping, Sherif Ismail, Xi Jinping, Abdel-Fattah al-Sisi, Xi Jinping, Abdel-Fattah al-Sisi, Xi Jinping, Ali Abdelaa, Xi Jinping, Abdel-Fattah al-Sisi, Xi Jinping, Nabil al-Arabi, Xi Jinping, Abdel-Fattah al-Sisi",http://news.xinhuanet.com/english/2016-01/23/c_135037110.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23946
793,China,Xi Jinping,,Saudi Arabia,Riyadh,19.1.2016,20.1.2016,"Lifting China-Saudi ties to comprehensive strategic partnership an irresistible trend, Chinese president meets with OIC secretary general, Lifting China-Saudi ties to comprehensive strategic partnership an irresistible trend, Chinese president meets Gulf Cooperation Council Secretary-General, China, Saudi Arabia elevate bilateral ties, eye more industrial capacity cooperation, China, GCC vow to reach comprehensive FTA within 2016, China, Saudi Arabia agree to set up high-level committee to steer cooperation, Xi wraps up historic visit to Saudi Arabia, steps up energy cooperation, Xi visits historic palace, inaugurates refinery in Saudi Arabia","Xi Jinping, Mohammed bin Salman, Xi Jinping, Iyad Ameen Madani, Xi Jinping, Mohammed bin Salman, Xi Jinping, Bin Rashid Al Zayani Abdul Latif, Xi Jinping, Yang Jiechi, Salman bin Abdulaziz Al Saud, Xi Jinping, Salman bin Abdulaziz Al Saud, Xi Jinping, Salman bin Abdulaziz Al Saud, Xi Jinping, Salman bin Abdulaziz Al Saud",http://news.xinhuanet.com/english/2016-01/21/c_135029206.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23913
794,China,Xi Jinping,,South Africa,Johannesburg,1.12.2015,4.12.2015,"Xi extends congratulations on opening of China-Africa media summit, Chinese president arrives for state visit to South Africa, Chinese, South African presidents vow to cement partnership, Xi pledges support for AU's role in regional, global affairs ahead of China-Africa summit, China to help Ebola-hit Guinea hone health care capacity, Chinese president praises Africa's rapid development, Xi announces 10 major China-Africa cooperation plans for coming 3 years, President Xi meets with Nigerian President Muhammadu Buhari, China to deepen infrastructure cooperation with Namibia, Xi urges to accelerate cooperation with Egypt in production capacity, security,  Mugabe hails China's engagement with Africa, slams West's double standards, China firmly supports Somali national reconstruction, ready to increase aid: Xi, Xi urges China, Comoros to enhance economic cooperation, Xi raises 5-point proposal on boosting China-Africa cooperation","Xi Jinping, Liyuan Peng, Xi Jinping, Jacob Zuma, Xi Jinping, Nkosazana Dlamini-Zuma, Xi Jinping, Alpha Conde, Xi Jinping, Muhammadu Buhari, Xi Jinping, Hage Geingob, Xi Jinping, Sherif Ismail, Xi Jinping, Robert Mugabe, Xi Jinping, Hassan Sheikh Mohamoud, Xi Jinping",http://news.xinhuanet.com/english/2015-12/05/c_134886996.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23660
795,China,Xi Jinping,,Zimbabwe,Harare,1.12.2015,1.12.2015,All-weather China-Zimbabwe friendship sets sail for more fruitful cooperation,"Xi Jinping, Robert Mugabe",http://news.xinhuanet.com/english/2015-12/02/c_134876560.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23635
796,China,Xi Jinping,,France,Paris,29.11.2015,30.11.2015,"Chinese president arrives in Paris for climate change conference, Chinese president meets French counterpart in Paris, China to continue to advance int'l climate cooperation, China, France to work together to make Paris climate talks a success, No zero-sum game mentality in Paris climate talks, Xi urges developed countries to honor commitments on climate finance, technology transfer, Xi, Putin agree to enhance anti-terrorism cooperation,  Xi, Obama meet in Paris, pledging cooperation on ties, climate change, China, Brazil to strengthen ties, climate cooperation, Xi sends strong signals at Paris climate talks","Xi Jinping, Francois Hollande, Xi Jinping, Vladimir Putin, Xi Jinping, Barack Obama, Xi Jinping, Dilma Rousseff, Xi Jinping",http://news.xinhuanet.com/english/2015-12/01/c_134870803.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23624
797,China,Xi Jinping,,Philippines,Manila,17.11.2015,20.11.2015,"China opportunities expected as Xi arrives in Philippines for APEC summit, Xi pledges ""priority"" to ties with Malaysia in China's neighborhood diplomacy, Chinese president arrives in Philippines for APEC summit, Xi voices full support to work of HKSAR chief executive, government, Xi urges closer Asia-Pacific cooperation for common prosperity, condemns terrorism, Xi strongly condemns IS for Chinese hostage death, APEC summit helps boost confidence in China","Xi Jinping, Leung Chun-ying, Xi Jinping",http://news.xinhuanet.com/english/2015-11/20/c_134838440.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23578
798,China,Xi Jinping,,Turkey,Antalya,15.11.2015,16.11.2015,"President Xi welcomed by Turkish counterpart in Antalya, Xi urges BRICS countries to cement confidence in growth, Xi says Chinese economy predicted to grow about 7 pct this year, Xi, Putin meet at G20 summit, renewing pledges on cooperation, Chinese president says G20 obliged to promote world economic growth, Chinese president proposes innovation, open economy for boosting global growth, China, Australia agree to step up cooperation, China to host 2016 G20 summit amid high expectations, Chinese president suggests long-term, stable strategic partnership with Canada, China ready to enhance economic, trade cooperation with Indonesia, China's G20 presidency aligns with Turkey's priorities, China welcomes Spain's active participation in Belt and Road Initiative, China-Mexico ties increasingly strategic: Xi","Xi Jinping, Recep Tayyip Erdogan, Xi Jinping, Vladimir Putin, Xi Jinping, Malcolm Turnbull, Xi Jinping, Justin Trudeau, Xi Jinping, Joko Widodo, Xi Jinping, Mariano Rajoy, Xi Jinping, Enrique Pena Nieto",http://news.xinhuanet.com/english/2015-11/17/c_134823059.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23541
799,China,Xi Jinping,,Singapore,Singapore City,6.11.2015,7.11.2015,"China, Singapore agree to lift ties, upgrade FTA, Chinese president arrives in Singapore for state visit, Ma Ying-jeou calls for consolidating consensus of one-China principle, Xi-Ma meeting hailed as ""historic page"" in cross-Strait relations, Xi meets Singaporean PM on ties, China-ASEAN cooperation, Chinese president's visit has further deepened Singapore-China ties: Singapore PM, Leaders join hands across Taiwan Strait for first time in 66 years","Xi Jinping,  Ma Ying-jeou, Xi Jinping,  Ma Ying-jeou, Xi Jinping,  Lee Hsien Loong, Xi Jinping,  Ma Ying-jeou",http://news.xinhuanet.com/english/2015-11/08/c_134793705.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23478
800,China,Xi Jinping,,Vietnam,Hanoi,5.11.2015,6.11.2015,"Xi Jinping, Peng Liyuan attend welcome banquet in Vietnam, Xi kicks off landmark state visit to Vietnam amid warming ties, Xi arrives on Vietnam visit, aiming to outline future ties, Xi, Vietnamese leaders agree to boost win-win partnership, China calls for closer maritime cooperation with Vietnam, China ready to promote party-to-party communication with Vietnam, Xi hails China-Vietnam friendship, calling for proper handling of differences, China, Vietnam to launch joint inspection on waters outside mouth of Beibu Gulf, China, Vietnam agree on feasibility study of railway project","Xi Jinping, Nguyen Phu Trong, Xi Jinping, Nguyen Phu Trong, Xi Jinping",http://news.xinhuanet.com/english/2015-11/06/c_134791099.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23453
801,China,Xi Jinping,,United Kingdom,Manchester,19.10.2015,23.10.2015,"Xi arrives for UK visit, eyes ""golden time"" for bilateral ties, Xi Jinping and Peng Liyuan Attend Welcoming Banquet Hosted by Queen Elizabeth II of UK, Britain holds royal welcome for Chinese president on ""super"" state visit, Queen Elizabeth II hosts welcome ceremony for President Xi, Work Together to Promote Openness,Inclusiveness and Peaceful Development, China to build global comprehensive strategic partnership with Britain, Chinese, French firms sign agreement on British nuclear power project, Xi underscores socialist path, peaceful development, President Xi, Prince William tour China-Britain creative industry exhibition, No hard landing for Chinese economy despite downward pressure, China, Britain lift ties to ""global"" level, Xi Jinping Holds Group Meeting with UK Friends, Xi Jinping Attends the Opening Ceremony of Annual Conference of UK Confucius Institutes and Classrooms, Xi visits Mobile Satellite Company in London, Xi, Queen Elizabeth II laud China-Britain relations, Xi bids farewell to British Queen, Xi addressing an opening ceremony of an annual meeting of Confucius Institutes in Britain, Celebrating Chinese & British culture at Lancaster House, Chinese president wraps up British visit in Manchester","Xi Jinping,  Queen Elizabeth II, Xi Jinping",http://news.xinhuanet.com/english/2015-10/24/c_134744785.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23345
802,China,Xi Jinping,,United States of America,New York,22.9.2015,28.9.2015,"Xi Jinping Attends China-US Governors Forum, Xi Jinping Meets with Personages Including Governor of Washington State Jay Inslee, Mayor of Seattle Ed Murray and Senator and Congressman from Washington State, Xi calls on China, U.S. to enhance local-level cooperation, Chinese president arrives in Seattle for first U.S. state visit, Xi calls for constructive China-U.S. cyber dialogue in Microsoft HQ tour, Xi hopes Chinese community contributes more to Sino-American friendship, China signs deal to buy 300 Boeing aircraft, Xi reassures U.S. business leaders on economy, Xi, Obama have three-hour-long talk on ties in Blair House, China's Internet policy chief urges China-U.S. cooperation in cybergovernance, Xi arrives in Washington, Xi Jinping addresses a welcome ceremony held by Boeing Company, China, U.S. reach important consensus on fighting cyber crimes, Xi, Obama start talks at White House, Xi's first state visit to U.S. culminates in Washington, charting clearer direction for bilateral ties, Chinese, U.S. first ladies name baby Panda at D.C. National Zoo, Chinese president meets U.S. Congress leaders, Xi attends luncheon hosted by Biden, Kerry at State Department, Obama holds grand welcome ceremony for Xi, Xi says he visits U.S. for peace, cooperation, Realizing Chinese Dream is in essence promotion of human rights, China, U.S. share common interests on South China Sea issue, Xi raises six-point proposal for developing China-U.S. ties, Xi calls for equitable, open, all-round development, Xi puts forward four-point proposal on global development, China pledges 2 bln USD to support South-South cooperation, calls for equitable development, Xi announces major anti-poverty initiatives, Xi Jinping addresses the United Nations Sustainable Development Summit 2015 at the UN headquarters in New York, Xi calls for closer cooperation with Romania, Xi pushes for closer South-South cooperation at UN, Xi Jinping Attends Ceremony of Presenting Zun of Peace from China to the UN, Xi Jinping Meets with President Muhammadu Buhari of Nigeria, Xi Jinping Attends and Addresses Global Leaders' Meeting on Gender Equality and Women's Empowerment, Xi Jinping Meets with President Ernest Bai Koroma of Sierra Leone, Xi reaffirms China's climate ambition, urges concrete actions, Chinese president calls for development, stability to resolve European refugee crisis, Xi addresses Leaders' Summit on Peacekeeping at UN headquarters, President Xi meets with Greek PM in New York, Xi says China-Iran cooperation faces new opportunities, Xi calls for closer cooperation with Denmark, Chinese president advocates new type of int'l relations, Xi says China to always vote for developing countries in UN, Xi announces major measures to support UN","Xi Jinping, Liyuan Peng, Xi Jinping, Yang Jiechi, Xi Jinping, Wang Yi, Yang Jiechi, Barack Obama, Lu Wei, Xi Jinping, Li Zhanshu, Wang Yi, Barack Obama, Joe Biden, John Kerry, Xi Jinping, Barack Obama, Xi Jinping, Barack Obama, Xi Jinping, Barack Obama, Xi Jinping, Barack Obama, Xi Jinping, Klaus Iohannis, Xi Jinping, Ki-moon Ban, Xi Jinping, Ki-moon Ban, Liyuan Peng, Xi Jinping, Muhammadu Buhari, Xi Jinping, Ernest Bai Koroma, Xi Jinping, Ki-moon Ban, Xi Jinping, Alexis Tsipras, Xi Jinping, Hassan Rouhani, Xi Jinping, Lars Rasmussen, Xi Jinping",http://news.xinhuanet.com/english/2015-09/29/c_134669393.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23153
803,China,Xi Jinping,,Russia,Ufa,8.7.2015,10.7.2015,"Xi, Putin meet ahead of BRICS, SCO summits, Chinese president meets Indian PM ahead of multilateral summits, Xi calls for joint Chinese-Indian efforts in building stronger BRICS partnership, Xi urges China, Russia to maintain high-level coordination within SCO, Chinese president meets with South African president in Ufa, China delighted to see new progress made in Iran nuclear talks: FM, Xi stresses IMF reforms, upward trend of BRICS economy, Chinese president urges BRICS to oppose historical revisionism, China-Brazil ties develop vigorously: Xi, Xi urges quickened construction of China-Russia-Mongolia economic corridor, Xi urges BRICS, SCO, EEU to cooperate for people's welfare, Xi urges business community to contribute to BRICS economic development, Xi calls on BRICS to forge community of destiny for common prosperity, Xi voices confidence in BRICS future, proposes deepening partnership, SCO leaders underscore regional security, peaceful settlement of hotspot issues, SCO member states jointly oppose distortion of WWII results, Putin expects Chinese firms to make ""significant contribution"" to Russia's Siberia, Far East, China welcomes SCO expansion, calls for upholding ""Shanghai Spirit"", SCO starts expansion, ratifies 10-year development strategy, Xi pledges closer China-Afghanistan security cooperation, Xi says granting India, Pakistan membership to inject new impetus into SCO, Chinese president welcomes Pakistan's entry into SCO, Xi says granting India, Pakistan membership to inject new impetus into SCO, Xi pledges closer China-Afghanistan security cooperation","Xi Jinping, Vladimir Putin, Xi Jinping, Jacob Zuma, Xi Jinping, Dilma Rousseff, Xi Jinping, Vladimir Putin, Tsakhiagiin Elbegdorj, Xi Jinping, Vladimir Putin, Xi Jinping, Nawaz Sharif, Xi Jinping, Ashraf Ghani",http://news.xinhuanet.com/english/2015-07/10/c_134401664.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22678
804,China,Xi Jinping,,Belarus,Minsk,10.5.2015,12.5.2015,"China, Belarus vow to combine development strategies, boost partnership, Chinese president arrives in Belarus for state visit, Chinese president honors Belarusian WWII veterans, Xi calls for broader China-Belarus cooperation at local level, China, Belarus pledge closer cooperation on industrial park, Xi calls for early ratification of China-Belarus cooperation treaty, President Xi visits China-Belarus Industrial Park in Minsk","Xi Jinping, Alexander Lukashenko, Xi Jinping, Mikhail Myasnikovich, Vladimir Andreichenko, Xi Jinping, Alexander Lukashenko",http://news.xinhuanet.com/english/photo/2015-05/13/c_134233452.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22243
805,China,Xi Jinping,,Russia,Moscow,8.5.2015,8.5.2015,"Chinese president arrives in Moscow for Great Patriotic War Victory celebration, Xi, Putin hold talks ahead of Russia's V-Day parade, Chinese president honors Russian WWII veterans with medals and care, China, Russia call for proper settlements of major int'l issues, China, Russia agree to integrate Belt initiative with EAEU construction, China, Russia pledge to remember history, strengthen practical cooperation","Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin",http://news.xinhuanet.com/english/2015-05/09/c_134222884.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22216
806,China,Xi Jinping,,Kazakhstan,Astana,7.5.2015,7.5.2015,"Chinese president visits Kazakhstan to boost cooperation along ancient trade route, China, Kazakhstan to align development strategies for common prosperity","Xi Jinping, Nursultan Nazarbayev",http://news.xinhuanet.com/english/2015-05/08/c_134219458.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22210
807,China,Xi Jinping,,Indonesia,Jakarta,21.4.2015,23.4.2015,"Xi Jinping Arrives in Jakarta for Attendance of Asian-African Summit and Activities Commemorating the 60th Anniversary of the Bandung Conference, Chinese president arrives in Indonesia for Asian-African summit, Bandung commemorations, Xi urges to build new type of international relations on Bandung Spirit, Chinese president starts addressing Asian-African summit, China, Indonesia vow to further deepen comprehensive strategic partnership, Xi, Abe meet in Jakarta on China-Japan ties, China backs political solution to northern Myanmar issue, eyes boosted cooperation, China's proposal at Asian-African summit to benefit people on two continents: Indonesian envoy, Xi raises three-point proposal on carrying forward Bandung Spirit, China pledges support for Zimbabwe's development, China, Cambodia pledge closer cooperation under Belt and Road framework, Xi calls for fair, balanced, all-win Iranian nuclear deal","Xi Jinping, Joko Widodo, Xi Jinping, Shinzo Abe, Xi Jinping, Thein Sein U, Xi Jinping, Robert Mugabe, Xi Jinping, Hun Sen, Xi Jinping, Hassan Rouhani",http://news.xinhuanet.com/english/2015-04/23/c_134177935.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22122
808,China,Xi Jinping,,Pakistan,Islamabad,20.4.2015,21.4.2015,"Xi Jinping Meets with Co-chairman of Pakistan Peoples Party (PPP) Asif Ali Zardari and Leaders of Other Major Political Parties of Pakistan, Chinese president attends welcoming ceremony in Islamabad, China, Pakistan elevate relations, commit to long-lasting friendship, Xi Jinping Meets with Pakistani President Mamnoon Hussain, Xi Jinping Meets with Pakistani Chairman Senate Mian Raza Rabbani and Speaker of the National Assembly Sardar Ayaz Sadiq, China, Pakistan elevate relations, commit to long-lasting friendship, Xi says increasingly confident in China-Pakistan ties, China, Pakistan will always stand together, move forward together: Xi","Xi Jinping, Asif Ali Zardari, Xi Jinping, Mamnoon Hussain, Nawaz Sharif, Xi Jinping, Nawaz Sharif, Xi Jinping, Mamnoon Hussain, Xi Jinping, Sadiq Sadiq, Xi Jinping, Nawaz Sharif, Xi Jinping, Mamnoon Hussain, Xi Jinping",http://news.xinhuanet.com/english/2015-04/21/c_134171244.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22113
809,China,Xi Jinping,,Fiji,Nadi,21.11.2014,23.11.2014,"China sees Fiji as friend, partner in Pacific island region: Xi, Chinese president pledges continued assistance to Fiji, China, Pacific island countries announce strategic partnership, Chinese president concludes visit to Fiji","Xi Jinping, Epeli Nailatikau, Xi Jinping, Josaia Voreqe Bainimarama, Xi Jinping",http://news.xinhuanet.com/english/china/2014-11/23/c_133807773.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=21177
810,China,Xi Jinping,,New Zealand,Wellington,19.11.2014,20.11.2014,"Chinese president arrives in New Zealand for state visit, President Xi, New Zealand's PM John Key hold talks in Wellington","Xi Jinping, Jerry Mateparae, John Key, Xi Jinping, John Key",http://news.xinhuanet.com/english/photo/2014-11/20/c_133803576.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=21210
811,China,Xi Jinping,,Australia,Sydney,14.11.2014,19.11.2014,"Chinese president arrives in Brisbane for G20 Summit, BRICS countries should raise their voice in global economic governance: Chinese president, Chinese president attends 9th G20 Summit in Brisbane, Australia, Xi proposes reinforcing global economy's anti-risk capacity, Xi calls for bigger role of Queensland in promoting China-Australia relationship, China's Xi, Brazil's Rousseff agree on advancing railway cooperation, President Xi stresses China-EU cooperation, Chinese, French presidents agree to propel comprehensive strategic partnership, China, Australia announce virtual conclusion of FTA negotiations, Chinese President Xi meets with Australian PM Abbott, China-Australia ties have bright prospects: Xi, China eyes more exchange with Australian Labor Party to promote partnership: Xi, Likening China to ""big guy"" in crowd, Xi highlights peaceful development, Xi visits family of old friend in Australia, fulfilling commitment, China, Australia agree to strengthen Antarctic cooperation, Xi hopes New South Wales grasp opportunities to expand cooperation with China, Chinese, Australian leaders pledge closer bilateral ties, China-Oz province-level forum sets milestone for bilateral cooperation: Xi","Xi Jinping, Peter Cosgrove, Xi Jinping, Narendra Modi, Vladimir Putin, Xi Jinping, Campbell Newman, Xi Jinping, Dilma Rousseff, Xi Jinping, Jean-Claude Juncker, Xi Jinping, Francois Hollande, Xi Jinping, Tony Abbott, Xi Jinping, Tony Abbott, Xi Jinping, Peter Cosgrove, Xi Jinping, Bill Shorten, Xi Jinping, Tony Abbott, Xi Jinping, Mike Baird, Xi Jinping, Tony Abbott, Xi Jinping, Tony Abbott",http://news.xinhuanet.com/english/china/2014-11/19/c_133800797.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=21168
812,China,Xi Jinping,,India,New Delhi,16.9.2014,19.9.2014,"Xi starts India visit in Modi's home state, Chinese, Indian presidents pledge cooperation, Chinese president and his wife lay wreath to memorial of Mahatma Gandhi in India, Xi announces new aid for combating Ebola, Xi meets Indian vice president, China, India step up economic engagement despite border disputes, China to open new route for Indian pilgrims to Tibet, China, India should be partners for peace, development: Xi, Xi meets Sonia Gandhi, Manmohan Singh on China-India relations, Xi Jinping confers friendship award in India","Xi Jinping, Narendra Modi, Xi Jinping, Pranab Mukherjee, Xi Jinping, Mamid Ansari, Xi Jinping, Narendra Modi, Xi Jinping",http://news.xinhuanet.com/english/china/2014-09/19/c_133656854.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20711
813,China,Xi Jinping,,Sri Lanka,Colombo,16.9.2014,16.9.2014,"Chinese, Sri Lankan presidents agree to deepen strategic cooperative partnership, Chinese, Sri Lankan presidents agree to deepen strategic cooperative partnership, Chinese president receives grand welcome in Sri Lanka","Xi Jinping, Mahinda Rajapaksa, Xi Jinping, Mahinda Rajapaksa, Xi Jinping, Mahinda Rajapaksa",http://news.xinhuanet.com/english/photo/2014-09/17/c_133648393_2.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20672
814,China,Xi Jinping,,Maldives,Male,14.9.2014,15.9.2014,"Chinese president arrives in Maldives for state visit, Chinese president pledges close cooperation with Maldives on climate change, Xi Jinping Holds Talks with President Abdulla Yameen of Maldives, Xi Jinping Meets with Speaker of People's Majlis Abdulla Maseeh Mohamed and Former President Maumoon Abdul Gayoom of Maldives","Xi Jinping, Abdulla Yameen, Xi Jinping",http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1191947.shtml,http://www.chinavitae.com//vip/index.php?mode=show&id=20682
815,China,Xi Jinping,,Tajikistan,Dushanbe,11.9.2014,13.9.2014,"Chinese president arrives in Tajikistan for SCO summit, state visit, China backs Russia's 2015 SCO presidency, China, Russia, Mongolia hold trilateral summit, Xi proposes to build China-Mongolia-Russia economic corridor, Xi Jinping Attends Family Banquet Held by President Emomali Rahmon of Tajikistan, Xi Jinping and President Emomali Rahmon of Tajikistan Jointly Attend the Groundbreaking Ceremony of China-Tajikistan Electricity and China-Central Asia Natural Gas Pipeline Cooperative Projects, China, Tajikistan to enhance cooperation in security, law enforcement, China welcomes Tajikistan's participation in Silk Road Economic Belt initiative, China, Tajikistan aim at 3-bln-USD trade in five years","Xi Jinping, Liyuan Peng, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Tsakhiagiin Elbegdorj, Xi Jinping, Vladimir Putin, Tsakhiagiin Elbegdorj, Xi Jinping, Qohir Rasulzoda, Xi Jinping",http://news.xinhuanet.com/english/china/2014-09/13/c_133640719.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20664
816,China,Xi Jinping,,Portugal,Terceira Island,24.7.2014,24.7.2014,China stands ready to deepen cooperation with Portugal: Xi,"Xi Jinping, Paulo Portas",http://news.xinhuanet.com/english/china/2014-07/24/c_133508818.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20319
817,China,Xi Jinping,,Cuba,Havana,21.7.2014,24.7.2014,"Chinese president arrives in Cuba for state visit, Xi Jinping Holds Talks with President of the Council of State and the Council of Ministers Raúl Castro, Xi Jinping Receives Order of José Marti of Cuba, Chinese president visits Cuban revolutionary leader Fidel Castro, Chinese president visits Cuba's Heroic City, Chinese president ends Cuba tour with fruitful results to further ties","Xi Jinping, Raul Castro, Xi Jinping, Fidel Castro, Xi Jinping, Raul Castro, Xi Jinping",http://news.xinhuanet.com/english/china/2014-07/24/c_133508717.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20322
818,China,Xi Jinping,,Venezuela,Caracas,20.7.2014,21.7.2014,"Chinese president receives Liberator Medal in Caracas, Venezuela, China, Venezuela lift ties to comprehensive strategic partnership, Chinese president arrives in Venezuela for state visit, Xi Jinping Meets with President of the National Assembly Diosdado Cabello of Venezuela, Xi urges stronger parliamentary exchanges between China, Venezuela, Xi visits Chavez's mausoleum to pay respect to China's ""great friend""","Xi Jinping, Nicolas Maduro, Xi Jinping, Nicolas Maduro, Xi Jinping, Nicolas Maduro, Xi Jinping, Diosdado Cabello, Xi Jinping, Diosdado Cabello, Xi Jinping",http://news.xinhuanet.com/english/china/2014-07/22/c_133500516.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20297
819,China,Xi Jinping,,Argentina,Buenos Aires,18.7.2014,19.7.2014,"Chinese president arrives in Argentina for state visit, China, Argentina upgrade ties to comprehensive strategic partnership, Chinese president calls for objective probe of MH17 crash, China, Argentina seek closer cooperation, Xi Jinping Receives Key to the City of Buenos Aires, Xi Jinping Visits Argentine Republic Farm, Xi expects more interactions between NPC, Argentine parliament, Chinese president visits Argentine farm, stressing agricultural cooperation, Chinese president sends messages of condolence to Malaysian, Dutch leaders","Xi Jinping, Cristina Fernandez de Kirchner, Xi Jinping, Cristina Fernandez de Kirchner, Xi Jinping, Mauricio Macri, Xi Jinping, Julián Domínguez, Xi Jinping, Amado Boudou, Xi Jinping, Julian Dominguez, Xi Jinping",http://news.xinhuanet.com/english/china/2014-07/19/c_133496224.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20262
